area_m2,count,label,mean_elev,mean_ndvi,site_index,subcell_id,NDVI,elevation,geometry,ndvi_z,elev_z,score,perimeter,compactness,mean_ndvi_z,mean_elev_z,compactness_z
21280329.700223558,21,1,292.1232697343808,0.2776135756338475,476,0,0.2236479405407603,292.58784598893743,"{""type"": ""Polygon"", ""coordinates"": [[[-56.05059598607734, -9.331834739455765], [-56.014663374712555, -9.331834739455765], [-56.014663374712555, -9.304885280932176], [-56.02364652755375, -9.304885280932176], [-56.02364652755375, -9.295902128090994], [-56.03262968039495, -9.295902128090994], [-56.03262968039495, -9.313868433773372], [-56.02364652755375, -9.313868433773372], [-56.02364652755375, -9.322851586614568], [-56.041612833236144, -9.322851586614568], [-56.041612833236144, -9.295902128090994], [-56.05957913891854, -9.295902128090994], [-56.05957913891854, -9.277935822408601], [-56.06856229175973, -9.277935822408601], [-56.06856229175973, -9.295902128090994], [-56.07754544460093, -9.295902128090994], [-56.07754544460093, -9.322851586614568], [-56.06856229175973, -9.322851586614568], [-56.06856229175973, -9.313868433773372], [-56.05957913891854, -9.313868433773372], [-56.05957913891854, -9.322851586614568], [-56.05059598607734, -9.322851586614568], [-56.05059598607734, -9.331834739455765]]]}",-0.8067508735955321,0.1748550495574966,7.719488050741563,36266.82698577386,7.86177090792388,-0.8061897849664632,-0.4878466301499064,7.401144895925007
13176040.770243244,13,1,222.17154938085176,0.1028580271391104,298,0,0.0134785160012779,218.68070202958705,"{""type"": ""Polygon"", ""coordinates"": [[[-56.66145037927862, -9.394716809344139], [-56.64348407359623, -9.394716809344139], [-56.64348407359623, -9.385733656502943], [-56.65246722643742, -9.385733656502943], [-56.65246722643742, -9.36776735082055], [-56.69738299064339, -9.36776735082055], [-56.69738299064339, -9.358784197979354], [-56.70636614348459, -9.358784197979354], [-56.70636614348459, -9.36776735082055], [-56.71534929632578, -9.36776735082055], [-56.71534929632578, -9.376750503661746], [-56.688399837802194, -9.376750503661746], [-56.688399837802194, -9.385733656502943], [-56.670433532119816, -9.385733656502943], [-56.670433532119816, -9.376750503661746], [-56.66145037927862, -9.376750503661746], [-56.66145037927862, -9.394716809344139]]]}",-4.515669135686134,-1.039878869115933,7.2727690807827,26135.452355192974,7.200083886417985,-2.468522585793517,-1.243412013906338,6.0476585088955215
22316084.778484654,22,1,336.8393430917529,0.2869952939623832,692,0,0.249383518583187,339.7254360555799,"{""type"": ""Polygon"", ""coordinates"": [[[-55.26007853605216, -9.673194547421183], [-55.251095383210966, -9.673194547421183], [-55.251095383210966, -9.664211394579986], [-55.24211223036977, -9.664211394579986], [-55.24211223036977, -9.65522824173879], [-55.251095383210966, -9.65522824173879], [-55.251095383210966, -9.646245088897594], [-55.26007853605216, -9.646245088897594], [-55.26007853605216, -9.637261936056412], [-55.28702799457575, -9.637261936056412], [-55.28702799457575, -9.646245088897594], [-55.29601114741695, -9.646245088897594], [-55.29601114741695, -9.637261936056412], [-55.304994300258144, -9.637261936056412], [-55.304994300258144, -9.646245088897594], [-55.31397745309933, -9.646245088897594], [-55.31397745309933, -9.664211394579986], [-55.32296060594052, -9.664211394579986], [-55.32296060594052, -9.673194547421183], [-55.304994300258144, -9.673194547421183], [-55.304994300258144, -9.664211394579986], [-55.26007853605216, -9.664211394579986], [-55.26007853605216, -9.673194547421183]]]}",-0.3525879733727031,0.9496059928488202,5.096707988050854,30172.42474786751,6.387063170142336,-0.7169477652424657,-0.004857549172442341,4.384617771980831
6083874.939932255,6,1,484.91753926701574,0.3818766852644329,1175,0,0.2823786633250942,483.25234182469495,"{""type"": ""Polygon"", ""coordinates"": [[[-54.76600512978642, -9.538447254803252], [-54.757021976945225, -9.538447254803252], [-54.757021976945225, -9.529464101962056], [-54.73905567126283, -9.529464101962056], [-54.73905567126283, -9.520480949120874], [-54.76600512978642, -9.520480949120874], [-54.76600512978642, -9.511497796279677], [-54.77498828262762, -9.511497796279677], [-54.77498828262762, -9.529464101962056], [-54.76600512978642, -9.529464101962056], [-54.76600512978642, -9.538447254803252]]]}",0.2296865185603166,3.3086066433932615,4.4085446323478505,14083.874966264702,5.709946272356841,0.18559553199798756,1.5945707215502543,2.999569442795584
10139524.957806364,10,1,403.4242543171115,0.3070974888495457,752,0,0.2465036777728371,404.0689221091928,"{""type"": ""Polygon"", ""coordinates"": [[[-55.03549971502228, -9.529464101962056], [-55.01753340933989, -9.529464101962056], [-55.01753340933989, -9.520480949120874], [-54.9995671036575, -9.520480949120874], [-54.9995671036575, -9.511497796279677], [-55.03549971502228, -9.511497796279677], [-55.03549971502228, -9.50251464343848], [-55.053466020704676, -9.50251464343848], [-55.053466020704676, -9.520480949120874], [-55.03549971502228, -9.520480949120874], [-55.03549971502228, -9.529464101962056]]]}",-0.4034093247506438,2.007152134775279,4.176526437124398,18083.71499574324,5.67909128514038,-0.5257290130060843,0.714342118085461,2.9364553060328524
3038365.203485475,3,1,589.6146788990826,0.3048117608934707,1163,0,0.2396984816621734,594.9210970078043,"{""type"": ""Polygon"", ""coordinates"": [[[-54.84685350535719, -9.125222224108278], [-54.83787035251599, -9.125222224108278], [-54.83787035251599, -9.116239071267081], [-54.828887199674796, -9.116239071267081], [-54.828887199674796, -9.107255918425885], [-54.84685350535719, -9.107255918425885], [-54.84685350535719, -9.125222224108278]]]}",-0.5235025123646538,5.143988411785906,4.040736938196794,8051.170591585338,4.6189051273312485,-0.5474716162474647,2.725429749527147,0.7678355724221819
7105470.977949211,7,1,283.3295901179113,0.2823058098832611,438,0,0.2316994110831514,283.7627144281729,"{""type"": ""Polygon"", ""coordinates"": [[[-56.086528597442125, -9.906756521292259], [-56.06856229175973, -9.906756521292259], [-56.06856229175973, -9.897773368451062], [-56.07754544460093, -9.897773368451062], [-56.07754544460093, -9.861840757086291], [-56.09551175028332, -9.861840757086291], [-56.09551175028332, -9.870823909927473], [-56.086528597442125, -9.870823909927473], [-56.086528597442125, -9.906756521292259]]]}",-0.6646643346196932,0.0298056528508363,3.892095001691595,16150.672750021797,6.058905549348072,-0.7615556948379928,-0.5828292821914824,3.7133685890450847
11108668.239469176,11,1,257.7313326187925,0.2626247366015708,871,0,0.2113026620571915,261.05075651702725,"{""type"": ""Polygon"", ""coordinates"": [[[-55.3858426758289, -8.038260730323664], [-55.3768595229877, -8.038260730323664], [-55.3768595229877, -8.029277577482468], [-55.35889321730531, -8.029277577482468], [-55.35889321730531, -8.011311271800075], [-55.367876370146504, -8.011311271800075], [-55.367876370146504, -8.020294424641271], [-55.3768595229877, -8.020294424641271], [-55.3768595229877, -8.011311271800075], [-55.3858426758289, -8.011311271800075], [-55.3858426758289, -8.002328118958879], [-55.39482582867009, -8.002328118958879], [-55.39482582867009, -8.011311271800075], [-55.40380898151129, -8.011311271800075], [-55.40380898151129, -8.029277577482468], [-55.3858426758289, -8.029277577482468], [-55.3858426758289, -8.038260730323664]]]}",-1.0246114349908502,-0.3434868890626511,3.7442816440509152,20098.756914553232,6.03029001590756,-0.9487685985394165,-0.8593222283702091,3.654835273881708
7075175.511914972,7,1,285.4270482603816,0.3118975664868175,1244,0,0.2170788907058945,283.32676362495516,"{""type"": ""Polygon"", ""coordinates"": [[[-54.80193774115121, -8.379620538289082], [-54.79295458831001, -8.379620538289082], [-54.79295458831001, -8.36165423260669], [-54.783971435468814, -8.36165423260669], [-54.783971435468814, -8.352671079765493], [-54.79295458831001, -8.352671079765493], [-54.79295458831001, -8.343687926924297], [-54.8109208939924, -8.343687926924297], [-54.8109208939924, -8.352671079765493], [-54.80193774115121, -8.352671079765493], [-54.80193774115121, -8.36165423260669], [-54.8109208939924, -8.36165423260669], [-54.8109208939924, -8.370637385447885], [-54.80193774115121, -8.370637385447885], [-54.80193774115121, -8.379620538289082]]]}",-0.9226767222317128,0.0226403884505129,3.6100005707666685,16085.954815535573,6.047532842641484,-0.4800690807653998,-0.5601741314915519,3.6901056214928207
6086374.689821374,6,1,309.02092871157635,0.2964571613396735,655,0,0.2486804075059315,314.65539174306525,"{""type"": ""Polygon"", ""coordinates"": [[[-55.42177528719368, -9.673194547421183], [-55.39482582867009, -9.673194547421183], [-55.39482582867009, -9.664211394579986], [-55.412792134352486, -9.664211394579986], [-55.412792134352486, -9.65522824173879], [-55.43974159287606, -9.65522824173879], [-55.43974159287606, -9.664211394579986], [-55.42177528719368, -9.664211394579986], [-55.42177528719368, -9.673194547421183]]]}",-0.3649959700183868,0.5375560672583098,3.2969837667904254,14057.58312654635,5.6981164152892205,-0.626943341155074,-0.30533094468619726,2.9753713703215485
