area_m2,count,label,mean_elev,mean_ndvi,site_index,subcell_id,NDVI,elevation,geometry,ndvi_z,elev_z,score
2955488.4409767343,3,1,589.6146788990826,0.3048117608934707,1163,0,0.23969848166217345,594.9210970078043,"{""type"": ""Polygon"", ""coordinates"": [[[-54.84685350535719, -9.125222224108278], [-54.83787035251599, -9.125222224108278], [-54.83787035251599, -9.116239071267081], [-54.828887199674796, -9.116239071267081], [-54.828887199674796, -9.107255918425885], [-54.84685350535719, -9.107255918425885], [-54.84685350535719, -9.125222224108278]]]}",-0.5235025123646538,5.143988411785906,5.6674909241505596
985323.30195202,1,1,579.232283464567,0.3637805501219396,1166,0,0.24887653525644512,577.640848660732,"{""type"": ""Polygon"", ""coordinates"": [[[-54.80193774115121, -9.062340154219918], [-54.79295458831001, -9.062340154219918], [-54.79295458831001, -9.053357001378721], [-54.80193774115121, -9.053357001378721], [-54.80193774115121, -9.062340154219918]]]}",-0.3615348490814266,4.859971161683069,5.221506010764496
985199.8599305144,1,1,576.9645669291339,0.4288499629268999,1160,0,0.2598136509238887,577.4827640299624,"{""type"": ""Polygon"", ""coordinates"": [[[-54.86481981103957, -9.107255918425885], [-54.85583665819837, -9.107255918425885], [-54.85583665819837, -9.098272765584689], [-54.86481981103957, -9.098272765584689], [-54.86481981103957, -9.107255918425885]]]}",-0.16852452837248735,4.857372891032502,5.0258974194049895
985150.3135916007,1,1,542.267716535433,0.5045823842375475,1159,0,0.2311738378432709,546.4645672379309,"{""type"": ""Polygon"", ""coordinates"": [[[-54.891769269563156, -9.125222224108278], [-54.88278611672196, -9.125222224108278], [-54.88278611672196, -9.116239071267081], [-54.891769269563156, -9.116239071267081], [-54.891769269563156, -9.125222224108278]]]}",-0.6739392716935821,4.347559445121349,5.021498716814931
983434.5653946088,1,1,500.5629921259843,0.4730323253397173,1150,0,0.21183375675992236,518.9979607043415,"{""type"": ""Polygon"", ""coordinates"": [[[-54.61329153148611, -9.72709346446836], [-54.604308378644916, -9.72709346446836], [-54.604308378644916, -9.718110311627164], [-54.61329153148611, -9.718110311627164], [-54.61329153148611, -9.72709346446836]]]}",-1.0152390591270726,3.8961197493111706,4.911358808438243
984344.401633932,1,1,534.7952755905511,0.5530772314530669,1167,0,0.23165870240029993,534.372249892153,"{""type"": ""Polygon"", ""coordinates"": [[[-54.80193774115121, -9.412683115026518], [-54.79295458831001, -9.412683115026518], [-54.79295458831001, -9.403699962185335], [-54.80193774115121, -9.403699962185335], [-54.80193774115121, -9.412683115026518]]]}",-0.6653827320630155,4.148810755233422,4.814193487296437
983671.352808128,1,1,498.3346456692913,0.2511532157990404,1114,0,0.20644405028439874,505.6682615004514,"{""type"": ""Polygon"", ""coordinates"": [[[-54.83787035251599, -9.646245088897594], [-54.828887199674796, -9.646245088897594], [-54.828887199674796, -9.637261936056412], [-54.83787035251599, -9.637261936056412], [-54.83787035251599, -9.646245088897594]]]}",-1.1103527076426882,3.6770335164892765,4.787386224131964
1966630.8686701504,2,1,300.2539370078741,0.1502654543476968,1073,0,0.012976056618017054,295.9994117531717,"{""type"": ""Polygon"", ""coordinates"": [[[-54.9905839508163, -9.772009228674328], [-54.981600797975105, -9.772009228674328], [-54.981600797975105, -9.75404292299195], [-54.9905839508163, -9.75404292299195], [-54.9905839508163, -9.772009228674328]]]}",-4.524536176106589,0.2309273644595548,4.755463540566144
1971404.241508613,2,1,491.4251968503937,0.3477073539315287,1189,0,0.1939343446442192,484.6539932155532,"{""type"": ""Polygon"", ""coordinates"": [[[-54.97261764513391, -8.927592861601987], [-54.96363449229273, -8.927592861601987], [-54.96363449229273, -8.909626555919594], [-54.97261764513391, -8.909626555919594], [-54.97261764513391, -8.927592861601987]]]}",-1.3311149607815769,3.331644111700355,4.662759072481932
1970251.0193854456,2,1,551.1768172888015,0.3710930935433652,1162,0,0.26495829896846584,554.4536559540388,"{""type"": ""Polygon"", ""coordinates"": [[[-54.86481981103957, -9.134205376949474], [-54.84685350535719, -9.134205376949474], [-54.84685350535719, -9.125222224108278], [-54.86481981103957, -9.125222224108278], [-54.86481981103957, -9.134205376949474]]]}",-0.07773549411419385,4.478867685744004,4.556603179858198
984190.5340841286,1,1,505.1220472440945,0.3680539673665,1173,0,0.21623908603449463,500.41138868190944,"{""type"": ""Polygon"", ""coordinates"": [[[-54.76600512978642, -9.466582032073696], [-54.757021976945225, -9.466582032073696], [-54.757021976945225, -9.4575988792325], [-54.76600512978642, -9.4575988792325], [-54.76600512978642, -9.466582032073696]]]}",-0.937496988734174,3.5906318322035524,4.528128820937726
983749.8467243022,1,1,356.2283464566929,0.5329240673549678,1075,0,0.07226583264778026,343.46425350013754,"{""type"": ""Polygon"", ""coordinates"": [[[-54.981600797975105, -9.619295630374019], [-54.97261764513391, -9.619295630374019], [-54.97261764513391, -9.610312477532823], [-54.981600797975105, -9.610312477532823], [-54.981600797975105, -9.619295630374019]]]}",-3.478233015911468,1.0110569991024245,4.489290015013893
984926.1564127636,1,1,530.9566929133858,0.4878856725213999,1161,0,0.2637723615984949,544.5709635671988,"{""type"": ""Polygon"", ""coordinates"": [[[-54.86481981103957, -9.20607059967903], [-54.85583665819837, -9.20607059967903], [-54.85583665819837, -9.197087446837834], [-54.86481981103957, -9.197087446837834], [-54.86481981103957, -9.20607059967903]]]}",-0.09866406057346355,4.316436275098328,4.4151003356717915
